class id file_number color_1 color_2 color_3 color_4 color_5
15 1 65 dimgray silver gray darkslategray black
15 1 66 dimgray darkslategray gray darkgray black
15 1 67 gray dimgray darkgray darkslategray black
15 1 68 dimgray gray black darkgray darkslategray
15 1 69 black dimgray darkgray darkslategray gray
15 1 70 gray dimgray darkgray darkslategray black
15 1 71 dimgray darkgray gray darkslategray black
15 1 72 gray darkgray dimgray black darkslategray
15 1 73     
15 1 74 gray dimgray darkgray darkslategray black
15 1 75 darkgray gray dimgray black darkslategray
15 1 76 gray darkgray dimgray darkslategray black
15 1 77 gray dimgray darkgray black darkslategray
15 1 78 dimgray black gray darkgray darkslategray
15 1 79 black dimgray darkgray gray darkslategray
15 1 80 darkslategray dimgray darkslategray darkgray gray
15 1 81 black dimgray darkgray darkslategray gray
15 1 82 darkslategray dimgray gray darkgray darkslategray
15 1 83 dimgray darkgray gray darkslategray darkslategray
15 1 84 darkgray gray black dimgray darkslategray
15 1 85 darkgray black gray dimgray darkslategray
15 1 86     
15 1 87     
15 1 88     
15 1 89     
15 1 90 darkgray black dimgray gray darkslategray
15 1 91     
15 1 92 rosybrown dimgray gray black darkslategray
15 1 93 gray rosybrown dimgray black darkslategray
15 1 94 darkgray gray dimgray black darkslategray
15 1 95 rosybrown black darkslategray gray dimgray
15 1 96     
15 1 97 black darkgray darkslategray gray dimgray
15 1 98 black darkgray darkslategray gray dimgray
15 1 99 black darkgray darkslategray gray dimgray
15 1 100 darkgray black darkslategray dimgray gray
15 1 101 darkgray black darkslategray dimgray gray
15 1 102 darkgray darkslategray black dimgray gray
15 1 103 darkslategray darkgray black dimgray gray
15 1 104 darkgray darkslategray black dimgray gray
15 1 105 darkgray black darkslategray dimgray gray
15 1 106 darkgray black darkslategray dimgray gray
15 1 107 darkslategray black darkgray dimgray gray
15 1 108 darkslategray darkgray black dimgray gray
15 1 109 darkgray darkslategray black dimgray gray
15 1 110 lightgray gray black darkslategray dimgray
15 1 111 bisque gray black darkslategray dimgray
15 1 112 bisque gray black darkslategray dimgray
15 1 113 bisque gray black darkslategray dimgray
15 1 114 blanchedalmond gray black darkslategray dimgray
15 1 115 gray black darkslategray darkslategray dimgray
15 1 116 beige black gray darkslategray dimgray
15 1 117 darkslategray darkslategray gray black dimgray
15 1 118     
15 1 120     
15 1 121 darkgray gray black darkslategray dimgray
15 1 122 darkgray darkslategray gray darkslategray dimgray
15 1 123 silver darkslategray darkolivegreen gray darkgray
15 1 124     
15 1 125 black darkslategray dimgray darkgray gray
15 1 126 darkgray gray darkslategray dimgray black
15 1 127 darkgray dimgray darkslategray black gray
15 1 128 darkgray dimgray darkslategray gray black
15 1 129 darkgray black gray dimgray darkslategray
15 1 130 silver black dimgray darkslategray gray
15 1 134     
15 1 135     
15 1 136 darkgray gray black darkslategray dimgray
15 1 137 gray darkgray black darkslategray dimgray
15 1 138 gray black darkgray dimgray darkslategray
15 1 139 gray black darkgray dimgray darkslategray
15 1 140     
15 1 141 lightslategray darkslategray black dimgray gray
15 1 142     
15 1 143     
15 1 144 darkgray dimgray black darkslategray gray
15 1 145 black darkgray darkslategray dimgray gray
15 1 146 black darkgray dimgray darkslategray gray
15 1 148 darkgray black darkslategray dimgray gray
15 1 149 darkgray black dimgray darkslategray gray
15 1 150 darkgray black darkslategray dimgray gray
15 1 154 black dimgray gray darkslategray darkgray
15 1 155 darkgray gray black dimgray darkslategray
15 1 156 darkslategray black dimgray silver gray
15 1 157 silver dimgray darkslategray dimgray darkgray
15 1 158 darkslategray silver dimgray gray darkgray
15 1 159 silver darkslategray dimgray dimgray darkgray
15 1 160 silver darkslategray dimgray darkgray dimgray
15 1 161 silver lightslategray darkslategray black dimgray
15 1 162 darkslategray darkgray black gray dimgray
15 1 163 darkgray darkslategray dimgray gray black
15 1 164     
15 1 168     
15 1 169     
15 1 170     
15 1 171 darkgray black darkslategray dimgray gray
15 1 172 darkgray black darkslategray dimgray gray
15 1 173 darkgray black darkslategray dimgray gray
15 1 174 darkgray black darkslategray dimgray gray
15 1 175 darkgray black darkslategray dimgray gray
15 1 176     
15 1 177 darkgray darkslategray black dimgray dimgray
15 1 178 darkgray lightslategray black darkslategray dimgray
15 1 179     
15 1 180 lightslategray black darkgray darkslategray dimgray
15 1 181 silver dimgray darkgray black darkslategray
15 1 182 darkgray gray darkslategray dimgray black
15 1 183 darkgray gray darkslategray dimgray black
15 1 184 darkslategray darkgray gray black dimgray
15 1 185 darkgray gray darkslategray dimgray black
15 1 186 darkgray darkslategray gray dimgray black
15 1 187 darkgray gray dimgray black darkslategray
15 1 188     
15 1 189     
15 1 190     
15 1 191 darkgray dimgray darkslategray black dimgray
15 1 192 gray dimgray dimgray black darkslategray
15 1 193 gray darkgray black darkslategray dimgray
15 1 196     
15 1 198 darkgray gray black darkslategray dimgray
15 1 199 darkgray gray black darkslategray dimgray
15 1 200     
15 1 201     
15 1 202 darkgray darkslategray gray black dimgray
15 1 204     
15 1 207 black darkgray darkslategray dimgray dimgray
15 1 208 black darkgray darkslategray dimgray dimgray
15 1 209 black darkgray darkslategray dimgray dimgray
15 1 210 dimgray dimgray black darkgray darkslategray
15 1 211 darkslategray black darkgray dimgray gray
15 1 212 darkslategray black gray dimgray darkgray
15 1 213 black darkslategray dimgray gray darkgray
15 1 214 darkslategray black dimgray gray darkgray
15 1 215 darkgray black dimgray darkslategray gray
15 1 216 darkgray black dimgray darkslategray slategray
15 1 217     
15 1 218 lightslategray black darkslategray darkslategray dimgray
15 1 220     
15 1 221 silver black lightslategray darkslategray dimgray
15 1 222 darkgray black gray darkslategray dimgray
15 1 223 darkgray black darkslategray gray dimgray
15 1 224 silver lightslategray black darkslategray dimgray
15 1 225     
15 1 226     
15 1 227 black darkgray dimgray darkslategray gray
15 1 228     
15 1 232     
15 1 233 darkgray black gray darkslategray dimgray
15 1 234 darkgray darkslategray black dimgray gray
15 1 235 darkgray black darkslategray dimgray gray
15 1 236 darkgray black darkslategray dimgray gray
15 1 237 darkgray black dimgray darkslategray gray
15 1 238 darkgray black dimgray darkslategray gray
15 1 239     
15 1 240 darkgray black dimgray darkslategray gray
15 1 241 darkgray black dimgray darkslategray gray
15 1 242 black darkgray dimgray darkslategray gray
15 1 243 dimgray black darkslategray darkgray gray
15 1 244 dimgray darkgray black darkslategray gray
15 1 245 dimgray darkgray black darkslategray gray
15 1 246 dimgray black darkslategray darkgray gray
15 1 247 black dimgray darkslategray darkgray gray
15 1 248     
15 1 249 black dimgray darkgray darkslategray gray
15 1 250 darkgray black dimgray darkslategray gray
15 1 251 darkgray dimgray black darkslategray gray
15 1 252 black darkgray dimgray darkslategray slategray
15 1 253 black darkgray dimgray dimgray darkslategray
15 1 257 silver lightslategray black darkslategray dimgray
15 1 258 silver black gray darkslategray dimgray
15 1 259 silver darkgray dimgray darkslategray black
15 1 260 silver black darkslategray lightslategray dimgray
15 1 262 silver darkslategray gray dimgray darkgray
15 1 263 silver dimgray darkslategray dimgray darkgray
15 1 264 silver dimgray darkgray dimgray darkslategray
15 1 266 darkgray gray darkslategray black dimgray
15 1 267 darkgray darkslategray black dimgray dimgray
15 1 268 darkgray darkslategray dimgray gray black
15 1 270 rosybrown darkgray black darkslategray dimgray
15 1 271 darkgray black darkslategray gray dimgray
15 1 272     
15 1 273     
15 1 275 darkgray darkslategray black dimgray dimgray
15 1 277     
15 1 279 lightslategray black darkslategray dimgray dimgray
15 1 280     
15 1 281 darkgray gray black darkslategray dimgray
15 1 282 silver black lightslategray darkslategray dimgray
15 1 283 silver black darkgray darkslategray dimgray
15 1 284 black silver darkslategray darkgray dimgray
15 1 287 silver black darkslategray dimgray darkgray
15 1 288 silver black darkslategray dimgray darkgray
15 1 289 silver lightslategray darkslategray black dimgray
15 1 290 darkgray lightslategray darkslategray black dimgray
15 1 291 darkslategray darkgray black dimgray gray
15 1 292 silver darkgray black darkslategray dimgray
15 1 293 silver darkgray black darkslategray dimgray
15 1 294 darkgray darkslategray black dimgray gray
15 1 295 darkgray darkslategray black dimgray gray
15 1 296 darkslategray darkgray dimgray black gray
15 1 297 darkgray darkslategray black gray dimgray
15 1 298 darkgray darkslategray black dimgray gray
15 1 299 silver lightslategray dimgray black darkslategray
15 1 300 silver lightslategray black darkslategray dimgray
15 1 301 darkgray black darkslategray dimgray dimgray
15 1 302 silver darkgray darkslategray darkslategray dimgray
15 1 303     
15 1 304 silver darkslategray darkslategray darkgray dimgray
15 1 305 silver gray darkslategray darkgray dimgray
15 1 306 gray darkslategray darkgray darkslategray dimgray
15 1 307 tan gray black darkslategray dimgray
15 1 308 lightgray lightslategray black darkslategray dimgray
15 1 309 silver gray black darkslategray dimgray
15 1 310 silver gray black darkslategray dimgray
15 1 311 silver gray darkslategray black dimgray
15 1 312 darkgray gray darkslategray black dimgray
15 1 313 silver gray black darkslategray dimgray
15 1 314 silver gray black darkslategray dimgray
15 1 315 darkgray darkslategray black dimgray dimgray
15 1 316 silver gray black darkslategray dimgray
15 1 317 darkslategray darkgray lightslategray darkslategray dimgray
15 1 318 lightslategray darkslategray darkgray darkslategray dimgray
15 1 319 darkslategray lightslategray darkgray darkslategray dimgray
15 1 320 gray darkslategray darkgray darkslategray dimgray
15 1 321 gray darkgray black darkslategray dimgray
15 1 322 gray darkgray darkslategray darkslategray dimgray
15 1 323 darkgray gray darkslategray darkslategray dimgray
15 1 324 darkgray gray darkslategray darkslategray dimgray
15 1 325 lightslategray black darkslategray dimgray darkslategray
15 1 326 darkgray gray black darkslategray dimgray
15 1 327 lightslategray black darkslategray dimgray dimgray
15 1 328 darkgray darkslategray black dimgray gray
15 1 329 darkgray darkslategray dimgray gray black
15 1 330 darkgray black darkslategray gray dimgray
15 1 331 darkgray black dimgray darkslategray gray
15 1 332 black darkgray dimgray darkslategray gray
15 1 333 darkgray gray dimgray black darkslategray
15 1 334 black darkgray darkslategray dimgray gray
15 1 335 black darkgray dimgray gray darkslategray
15 1 336 black darkgray gray dimgray darkslategray
15 1 337 black gray dimgray darkgray darkslategray
15 1 338 darkslategray gray darkgray dimgray darkslategray
15 1 339 black darkgray darkslategray gray dimgray
15 1 340 black darkgray gray darkslategray dimgray
15 1 341 darkgray black gray darkslategray dimgray
15 1 342 silver black darkgray darkslategray dimgray
15 1 343 darkgray gray black darkslategray dimgray
15 1 344 gray black darkgray darkslategray dimgray
15 1 345 darkgray lightslategray black darkslategray dimgray
15 1 346 silver darkgray black darkslategray dimgray
15 1 347     
15 1 348 silver darkgray dimgray black darkslategray
15 1 349 gray darkgray black darkslategray dimgray
15 1 350 gray darkgray black darkslategray dimgray
15 1 351 gray darkgray black dimgray darkslategray
15 1 352 gray darkgray dimgray black darkslategray
15 1 353 darkgray gray darkslategray dimgray black
15 1 354 darkgray gray darkslategray dimgray black
15 1 355 darkgray gray darkslategray dimgray black
15 1 356 darkgray gray dimgray black darkslategray
15 1 357     
15 1 358     
15 1 359 darkgray darkslategray black gray dimgray
15 1 360     
15 1 361 darkgray black darkslategray gray dimgray
15 1 362 darkgray darkslategray black gray dimgray
15 1 363 darkgray darkslategray black dimgray gray
15 1 364 darkslategray darkgray black dimgray gray
15 1 365     
15 1 366 silver black dimgray darkslategray gray
15 1 367 darkgray darkslategray black dimgray dimgray
15 1 368 darkgray black dimgray darkslategray dimgray
15 1 369 darkgray darkslategray dimgray black gray
15 1 370 darkgray darkslategray black dimgray gray
15 1 371     
15 1 372 darkgray darkslategray dimgray black gray
15 1 373 darkgray darkslategray dimgray black gray
15 1 374 darkgray darkslategray dimgray black gray
15 1 375 darkgray darkslategray dimgray black gray
15 1 376 darkgray darkslategray dimgray black gray
15 1 377 darkgray darkslategray dimgray black gray
15 1 380     
15 1 381 gray darkgray darkslategray dimgray darkolivegreen
15 1 382     
15 1 383     
15 1 384 darkgray darkslategray gray darkslategray dimgray
15 1 385 darkgray darkslategray gray darkolivegreen dimgray
15 1 386 darkgray darkolivegreen darkslategray dimgray darkslategray
15 1 387 darkgray darkslategray dimgray dimgray darkslategray
15 1 388 darkgray darkslategray dimgray dimgray darkolivegreen
15 1 389 darkgray darkslategray dimgray dimgray darkslategray
15 1 390 darkgray darkslategray dimgray darkslategray dimgray
15 1 391 darkgray darkslategray dimgray darkslategray gray
15 1 392 darkslategray dimgray gray dimgray darkslategray
15 1 393 darkslategray gray gray darkolivegreen dimgray
15 1 394 darkslategray darkolivegreen gray dimgray gray
15 1 396 saddlebrown dimgray dimgray darkslategray gray
15 1 397 saddlebrown dimgray darkslategray dimgray gray
15 1 398 saddlebrown dimgray darkslategray dimgray gray
15 1 399 skyblue antiquewhite black darkslategray dimgray
15 1 401 antiquewhite darkslategray darkslategray black dimgray
15 1 403 gainsboro black darkslategray dimgray dimgray
15 1 405 skyblue beige black darkslategray dimgray
15 1 407 lightsteelblue linen black darkslategray dimgray
15 1 409 gainsboro dimgray black darkslategray dimgray
15 1 411 gainsboro gray black darkslategray dimgray
15 1 413 skyblue beige black darkslategray dimgray
15 1 415 skyblue beige black darkslategray dimgray
15 1 417 skyblue beige darkslategray black dimgray
15 1 419 skyblue beige darkslategray black dimgray
15 1 421 beige dimgray darkslategray black dimgray
15 1 423 beige dimgray darkslategray black dimgray
15 1 425 gainsboro darkslategray dimgray black dimgray
15 1 427 gainsboro gray darkslategray dimgray black
15 1 429 gainsboro gray dimgray darkslategray black
15 1 431 beige dimgray darkslategray gray black
15 1 433 beige darkslategray dimgray gray black
15 1 435 beige dimgray darkslategray gray black
15 1 437 gainsboro dimgray darkslategray black gray
15 1 439 gainsboro gray dimgray darkslategray black
15 1 441 skyblue linen black darkslategray dimgray
15 1 443 skyblue linen black darkslategray dimgray
15 1 445 skyblue linen black darkslategray dimgray
15 1 447 skyblue beige black darkslategray dimgray
15 1 449 skyblue beige black darkslategray dimgray
15 1 451 olivedrab gainsboro black darkslategray dimgray
15 1 453 skyblue linen black darkslategray dimgray
